Symbol,Observations,Observed Price,3-Month Mean,Z-Score,Action
EQR,63,75.68000030517578,69.37647852821955,0.10886805476745941,hold
ESS,63,302.94000244140625,280.286370171441,0.032508278087700515,hold
EL,63,92.56800079345703,101.62511758955698,-0.011957421024347301,hold
ETSY,63,54.7599983215332,58.84103151351687,-0.031855859645832686,hold
EG,63,393.32000732421875,378.6869841076079,0.017801247576182636,hold
EVRG,63,59.70000076293945,55.33448198106554,0.07417900231860328,hold
ES,63,67.72000122070312,61.951904781281,0.050489568879481014,hold
EXC,63,38.4900016784668,36.10678209577288,0.157116484577342,sell
EXPE,63,136.74000549316406,127.94238123818049,0.02323981700263711,hold
EXPD,64,123.31999969482422,122.68412720210968,,hold
EXR,63,176.11000061035156,161.64779275561136,0.026959850906417934,hold
XOM,63,115.5,114.27905539860801,0.01866611390496358,hold
FFIV,63,198.85000610351562,181.20111132424975,0.014122366135957937,hold
FDS,63,426.7250061035156,412.1402587890625,0.020183480760722086,hold
FICO,63,1686.5699462890625,1572.9696858723958,0.0007529415615801314,hold
FAST,63,67.08000183105469,65.86483510335286,0.026383380890279463,hold
FRT,63,114.63999938964844,107.15711878216456,0.026174821101619717,hold
FDX,63,293.54998779296875,283.99983941941036,0.0027759408241551805,hold
FIS,63,82.63999938964844,76.74935198587085,0.16756387590977634,sell
FITB,63,42.4900016784668,38.78031188722641,0.06954372791029007,hold
FSLR,63,212.74000549316406,234.37857079884364,-0.00490835304253887,hold
FE,63,44.314998626708984,40.24680298093765,0.11575880420028271,hold
FI,63,173.92999267578125,157.35079374767486,0.031991981676515575,hold
FMC,63,62.630001068115234,59.12400648328993,0.03645157050924738,hold
F,63,10.984999656677246,11.703949368189251,-0.05702300588015243,hold
FTNT,63,77.12999725341797,63.41936505030072,0.03412825762543995,hold
FTV,63,72.79000091552734,72.51365080333892,0.005493831381143862,hold
FOXA,63,41.029998779296875,36.87507932148282,0.07909425153972785,hold
FOX,63,38.029998779296875,34.334126760089205,0.08286349726041266,hold
